"nota","tgl","kode","tarif","fpkt"
"JL23050022","2023-05-22","0034","85000",
"JL23050023","2023-05-22","0024","135000",
"JL23050024","2023-05-22","0018","93750","**"
"JL23050025","2023-05-23","0018","93750","**"
"JL23050025","2023-05-23","0015","35000",
"JL23050025","2023-05-23","0022","25000",
"JL23050026","2023-05-24","0012","65000",
"JL23050027","2023-05-24","0012","65000",
"JL23050028","2023-05-24","0012","65000",
"JL23050029","2023-05-24","0012","65000",
"JL23050030","2023-05-25","0022","25000",
"JL23050030","2023-05-25","0017","99000",
"JL23050031","2023-05-26","0003","95000",
"JL23050032","2023-05-28","0019","135000",
"JL23050032","2023-05-28","0020","135000",
"JL23050033","2023-05-29","0032","60000",
"JL23050033","2023-05-29","0029","175000",
"JL23050034","2023-05-29","0032","60000",
"JL23050035","2023-05-29","0018","125000",
"JL23050035","2023-05-30","0020","135000",
"JL23050036","2023-05-31","0031","150000","**"
"JL23060001","2023-06-01","0025","145000",
"JL23060002","2023-06-02","0015","35000",
"JL23060002","2023-06-02","0028","130000",
"JL23060003","2023-06-02","0018","125000",
"JL23060004","2023-06-03","0010","40000",
"JL23060004","2023-06-03","0011","45000",
"JL23060005","2023-06-03","0010","40000",
"JL23060006","2023-06-03","0019","135000",
"JL23060007","2023-06-03","0010","40000",
"JL23060007","2023-06-03","0011","45000",
"JL23060008","2023-06-03","0010","40000",
"JL23060008","2023-06-03","0022","25000",
"JL23060009","2023-06-03","0019","135000",
"JL23060010","2023-06-03","0008","40000",
"JL23060011","2023-06-03","0024","135000",
"JL23060012","2023-06-05","0020","101250","**"
"JL23060013","2023-06-05","0006","45000",
"JL23060014","2023-06-10","0023","35000",
"JL23060015","2023-06-10","0009","45000",
"JL23060015","2023-06-10","0028","130000",
"JL23060015","2023-06-10","0028","97500","**"
"JL23060015","2023-06-10","0009","45000",
"JL23060016","2023-06-10","0006","45000",
"JL23060017","2023-06-11","0013","120000",
"JL23060018","2023-06-11","0003","95000",
"JL23060018","2023-06-11","0023","35000",
"JL23060019","2023-06-12","0018","125000",
"JL23060020","2023-06-12","0023","35000",
"JL23060021","2023-06-12","0028","130000",
"JL23060022","2023-06-13","0028","130000",
"JL23060023","2023-06-13","0028","130000",
"JL23060024","2023-06-13","0003","95000",
"JL23060025","2023-06-13","0004","120000",
"JL23060026","2023-06-13","0028","130000",
"JL23060027","2023-06-14","0012","65000",
"JL23060028","2023-06-15","0004","120000",
"JL23060029","2023-06-15","0013","120000",
"JL23060030","2023-06-15","0029","175000",
"JL23060031","2023-06-16","0017","74250","**"
"JL23060032","2023-06-16","0020","135000",
"JL23060033","2023-06-16","0007","50000",
"JL23060033","2023-06-16","0003","95000",
"JL23060034","2023-06-16","0007","50000",
"JL23060035","2023-06-16","0003","95000",
"JL23060035","2023-06-16","0009","45000",
"JL23060036","2023-06-17","0022","25000",
"JL23060037","2023-06-17","0024","135000",
"JL23060037","2023-06-17","0009","45000",
"JL23060038","2023-06-17","0031","200000",
"JL23060038","2023-06-17","0024","135000",
"JL23060039","2023-06-18","0017","99000",
"JL23060039","2023-06-18","0021","150000",
"JL23060040","2023-06-19","0015","35000",
"JL23060040","2023-06-19","0031","200000",
"JL23060041","2023-06-19","0018","125000",
"JL23060042","2023-06-19","0003","95000",
"JL23060042","2023-06-19","0010","40000",
"JL23060043","2023-06-19","0010","40000",
"JL23060043","2023-06-19","0013","120000",
"JL23060044","2023-06-21","0008","40000",
"JL23060044","2023-06-21","0012","65000",
"JL23060045","2023-06-21","0024","135000",
"JL23060045","2023-06-21","0028","130000",
"JL23060046","2023-06-22","0012","65000",
"JL23060046","2023-06-22","0011","45000",
"JL23060047","2023-06-22","0006","45000",
"JL23060048","2023-06-22","0006","45000",
"JL23060049","2023-06-23","0008","40000",
"JL23060049","2023-06-23","0009","45000",
"JL23060049","2023-06-23","0008","40000",
"JL23060049","2023-06-23","0009","45000",
"JL23060049","2023-06-23","0013","120000",
"JL23060050","2023-06-24","0017","99000",
"JL23060050","2023-06-24","0032","60000",
"JL23060051","2023-06-24","0035","110000",
"JL23060052","2023-06-26","0028","130000",
"JL23060053","2023-06-27","0037","35000",
"JL23060054","2023-06-28","0018","93750","**"
"JL23060055","2023-06-28","0035","110000",
"JL23060055","2023-06-28","0007","50000",
"JL23060056","2023-06-28","0003","95000",
"JL23060057","2023-06-29","0018","93750","**"
"JL23060058","2023-06-29","0035","110000",
"JL23060058","2023-06-29","0023","35000",
"JL23060059","2023-06-29","0023","35000",
"JL23060060","2023-06-29","0035","110000",
"JL23060060","2023-06-29","0025","145000",
"JL23060061","2023-06-29","0008","40000",
